Date,Year,State,Site,N_R,ID_mark,ID_number,sex,mated (if F),gps,wpt,wing_wear,Notes,lat,lon,ele
6/2/18,2018,Maryland,Alesia,N,BBBB,AL01,M,,NA,NA,2,"probably male, since it was the first one seen; LMB changed to M. marked left wing",NA,NA,NA
6/4/18,2018,Maryland,Alesia,N,BBBG,AL02,M,,GPS_1,193,2,most likely  M,39.682885,-76.832952,223.665924
6/4/18,2018,Maryland,Alesia,N,BBBR,AL03,M,,GPS_1,194,2,,39.683054,-76.832694,224.415451
6/5/18,2018,Maryland,Abel,N,BYGB,AB01,M,,LB,1590,2,not found on plant but all use turtlehead,39.513596,-76.486034,118.250893
6/5/18,2018,Maryland,Abel,N,BYGG,AB02,M,,LB,1591,2,not found on plant but all use turtlehead,39.513571,-76.486054,118.049393
6/5/18,2018,Maryland,Abel,N,BYGR,AB03,M,,LB,1592,2,not found on plant but all use turtlehead,39.5134,-76.486127,116.926781
6/5/18,2018,Maryland,Abel,N,BYGS,AB04,M,,LB,1593,2,not found on plant but all use turtlehead,39.513609,-76.486019,118.415512
6/5/18,2018,Maryland,McElwain,N,NA,NA,NA,,GPS_1,198,NA,"first one found at site, didn't catch and mark",39.70846,-76.492684,174.327026
6/6/18,2018,Maryland,Abel,R,BYGS,AB04,M,,GPS_1,204,2,,39.513594,-76.485982,82.686104
6/6/18,2018,Maryland,Alesia,N,BBBS,AL04,M,,GPS_1,205,2,,39.683185,-76.832621,216.340332
6/6/18,2018,Maryland,Alesia,N,BBBY,AL05,M,,GPS_1,206,2,,39.683154,-76.832585,216.961029
6/7/18,2018,Maryland,McElwain,N,BYGY,MC01,M,,LB,1594,2,not on plant but turtlehead nearby?,39.708696,-76.492885,168.970123
6/7/18,2018,Maryland,McElwain,N,BYRB,MC02,M,,LB,1595,2,,39.708737,-76.49302,180.26915
6/7/18,2018,Maryland,McElwain,N,BYRG,MC03,M,,LB,1596,2,,39.708612,-76.493052,181.408661
6/7/18,2018,Maryland,McElwain,N,BYRR,MC04,M,,LB,1597,2,,39.708933,-76.493154,181.725815
6/7/18,2018,Maryland,McElwain,N,BYRS,MC05,M,,LB,1598,2,,39.70808,-76.492586,179.975876
6/7/18,2018,Maryland,Alesia,N,BBGB,AL06,F,unmated,GPS_1,207,2,,39.683026,-76.832896,215.412277
6/7/18,2018,Maryland,Alesia,N,BBGG,AL07,F,mated,GPS_1,208,2,appears to be mated female,39.683011,-76.832946,216.530441
6/7/18,2018,Maryland,Alesia,R,BBBS,AL04,M,,GPS_1,210,2,,39.683213,-76.832589,220.857574
6/7/18,2018,Maryland,Abel,R,BYGB,AB01,M,,GPS_1,211,2,remarked; wing colors were fading,39.513847,-76.486037,104.320984
6/7/18,2018,Maryland,Abel,R,BYGS,AB04,M,,GPS_1,212,2,,39.513354,-76.486049,112.147949
6/7/18,2018,Maryland,Abel,N,BBGR,AB05,F,,GPS_1,213,2,,39.513498,-76.485969,113.938492
6/8/18,2018,Maryland,McElwain,N,BBGS,MC06,M,,GPS_1,215,2,,39.708722,-76.493213,175.722183
6/8/18,2018,Maryland,McElwain,N,BBGY,MC07,M,,GPS_1,216,2,,39.708775,-76.493177,176.58316
6/8/18,2018,Maryland,McElwain,R,BYRS,MC05,M,,GPS_1,217,2,,39.708588,-76.492748,175.859375
6/8/18,2018,Maryland,McElwain,R,BYRR,MC04,M,,GPS_1,218,2,,39.708636,-76.492756,176.021164
6/8/18,2018,Maryland,McElwain,N,BBRB,MC08,M,,GPS_1,219,2,,39.7087,-76.492944,176.577835
6/8/18,2018,Maryland,McElwain,N,BBRG,MC09,M,,GPS_1,220,2,,39.708692,-76.492971,176.349792
6/8/18,2018,Maryland,McElwain,R,BYRG,MC03,M,,GPS_1,221,2,,39.708674,-76.492944,177.399612
6/8/18,2018,Maryland,Abel,R,BBGR,AB05,M,,LB,1599,3,,39.513451,-76.48601,107.247314
6/8/18,2018,Maryland,Abel,N,BYRY,AB06,M,,LB,1600,2,,39.513312,-76.485966,118.685059
6/8/18,2018,Maryland,Abel,R,BYGS,AB04,M,,LB,1601,3,,39.513469,-76.486085,121.023361
6/8/18,2018,Maryland,Alesia,N,BYSB,AL08,F,mated,LB,1602,2,,39.682984,-76.832794,222.277008
6/8/18,2018,Maryland,Alesia,N,BYSG,AL09,M,,LB,1603,2,left wing crinkled :(,39.683077,-76.832731,222.399597
6/9/18,2018,Maryland,McElwain,N,BYSR,MC10,M,,LB,1604,2,,39.706935,-76.491517,172.376617
6/9/18,2018,Maryland,McElwain,N,BYSS,MC11,M,,LB,1605,2,,39.708705,-76.492988,181.740646
6/9/18,2018,Maryland,McElwain,N,BYSY,MC12,M,,LB,1606,2,,39.708671,-76.492974,180.660019
6/9/18,2018,Maryland,McElwain,R,BYRG,MC03,M,,LB,1607,3,,39.708748,-76.493035,180.428864
6/9/18,2018,Maryland,McElwain,R,BYRR,MC04,M,,LB,1608,3,,39.708618,-76.49273,179.872101
6/9/18,2018,Maryland,McElwain,N,BYYB,MC13,M,,LB,1609,2,second yellow streaked down wing,39.708784,-76.493274,180.734268
6/9/18,2018,Maryland,McElwain,N,BYYG,MC14,M,,LB,1610,2,,39.708707,-76.493255,180.143005
6/9/18,2018,Maryland,McElwain,R,BBGS,MC06,M,,LB,1611,2,,39.708678,-76.493507,180.198944
6/10/18,2018,Maryland,Alesia,N,BBRR,AL10,F,mated,GPS_1,226,2,,39.682831,-76.833033,215.899689
6/10/18,2018,Maryland,Abel,R,BYGS,AB04,M,,LB,1613,3,,39.513511,-76.486043,117.322891
