"","ocurrenceID","database","collectionCode","basisOfRecord","scientificName","genus","specificEpithet","eventDate","year","month","day","startDayOfYear","dayCode","phenology","buds","flowers","fruit","vegetative","unknown","phenologyNotes","generalNotes","stateProvince","county","municipality","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","picture","pictureChecked","inBCBrange","phenOne","phenTwo","phenThree","PhenFour","locationNotes","coordinateSource","coordinateUncertaintySource","compiler"
"1",1019966,"NE","A","specimen","Chelone glabra","Chelone","glabra","8/18/1983",1983,8,18,230,1983230,"flowering","unknown","Y","N"," "," ","","","Vermont","Orleans","Westfield","ca 9.6 km (6 miles) SE of vermont route 118 on vermont route 58, just nw of the lowell-westfield town line",44.838762,-72.498774,4000,"Y","Y","Y","Yes","Flowering","","","","town","best estimate","JA"
"2",3848605,"MW","APSC","specimen","Chelone glabra","Chelone","glabra","9/6/1984",1984,9,6,250,1984250,"flowering","unknown","Y","N"," "," ","","","Tennessee","Stewart","","Land Between the Lakes. Across from old Hopewell Church site, upper Bear Creek. Large stand in wet thickets.",36.575809,-87.902616,4000,"Y","Y","Y","Yes","Flowering","","","couldn't find exact locality","locality","best estimate","JA"
"3",3848606,"MW","APSC","specimen","Chelone glabra","Chelone","glabra","9/21/1985",1985,9,21,264,1985264,"flowering","unknown","Y","N"," "," ","","","Kentucky","Trigg","","Land Between the Lakes. Hematite Lake. Scattered all around lake in mesic-swampy thickets.",36.895547,-88.044618,800,"Y","Y","Y","Yes","Flowering","","","","locality","best estimate","JA"
"4",3848607,"MW","APSC","specimen","Chelone glabra","Chelone","glabra","9/17/1988",1988,9,17,261,1988261,"buds ","Y","N","N"," "," ","","","Tennessee","Stewart","","Land Between the Lakes. Wet woods at Crockett Bay. Infrequent.",36.66294,-87.922213,900,"Y","Y","Y","Yes","Flowering","Early","","","locality","best estimate","JA"
"5",3848609,"MW","APSC","specimen","Chelone glabra","Chelone","glabra","9/30/2011",2011,9,30,273,2011273,"flowering","unknown","Y","N"," "," ","","","Tennessee","Lewis","","Dry branch seep.",35.527281,-87.493096,24485,"Y","Y","Y","Yes","Flowering","","","couldn't find locality, used county","county","geolocate","JA"
"6",3848612,"MW","APSC","specimen","Chelone glabra","Chelone","glabra","10/15/1947",1947,10,15,288,1947288,"buds","Y","N","N"," "," ","","","Tennessee","Montgomery","","Marks' Slough, 7 mi. SE of Clarksville, moist shaded border of swamp.",36.435836,-87.311514,18081,"Y","Y","Y","Yes","Flowering","Early","","need to change latlon based on new locality info?. couldn't find exact locality. Said sse in online record, other picture actually has sse on paper","town+direction+distance","geolocate","JA"
"7",3848613,"MW","APSC","specimen","Chelone glabra","Chelone","glabra","9/23/1949",1949,9,23,266,1949266,"flowering","unknown","Y","N"," "," ","","","Tennessee","Montgomery","","Marks' Slough, 7 mi. SSE of Clarksville, wet ground near spring.",36.435836,-87.311514,18081,"Y","Y","Y","Yes","Flowering","","","see note 3848613. couldn't find exact locality","town+direction+distance","geolocate","JA"
"8",3848614,"MW","APSC","specimen","Chelone glabra","Chelone","glabra","9/28/1967",1967,9,28,271,1967271,"flowering","unknown","Y","N"," "," ","","","Tennessee","Montgomery","","Foster's Cave Creek; on bank next to water.",36.496858,-87.382887,32425,"Y","Y","Y","Yes","Flowering","","","couldn't find locality, used county","county","geolocate","JA"
"9",3848615,"MW","APSC","specimen","Chelone glabra","Chelone","glabra","9/10/1979",1979,9,10,253,1979253,"flowering and fruit???","unknown","Y","Y"," "," ","recheck phenology: very unsure","same day/place, different phenology?","Tennessee","Robertson","","Cedar Hill Swamp east of Cedar Hill. Infrequent in wet woods south of railroad.",36.546065,-86.992282,1000,"Y","Y","Y","Yes","Both","","","","locality","best estimate","JA"
"10",3848616,"MW","APSC","specimen","Chelone glabra","Chelone","glabra","9/12/1991",1991,9,12,255,1991255,"flowering","unknown","Y","N"," "," ","","","Tennessee","Stewart","","Elk Creek Swamp between Carlisle and Dover, within the Cross Creeks National Wildlife Refuge. Dense herbaceous vegetation with scattered shrubs-trees, mostly in shallow water or boggy soil. Frequent.",36.47927,-87.737497,7000,"Y","Y","Y","Yes","Flowering","","","couldn't find exact locality","locality","best estimate","JA"
