"ocurrenceID","collectionCode","database","basisOfRecord","scientificName","eventDate","year","month","day","startDayOfYear","dayCode","lifeStage","lifeStageNotes","generalNotes","locationNotes","stateProvince","county","municipality","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinateSource","picture","recordedBy","within.year.duplicate...place.","within.year.duplicate...county.","lat2","lon2","id"
690406,"AMNH","AMNH","specimen","Euphydryas phaeton","6/12/37",1937,6,12,163,1937163,"adult","","","county inferred from town","New York","Albany","","Albany",42.652579,-73.756232,"9462","town","N","Frederick, A.C.","same place, same collector","",42.7,-73.8,"1937163 42.7 -73.8"
690407,"AMNH","AMNH","specimen","Euphydryas phaeton","6/16/29",1929,6,16,167,1929167,"adult","","","county inferred from town","New York","Albany","","Albany",42.652579,-73.756232,"9462","town","N","Frederick, A.C.","","",42.7,-73.8,"1929167 42.7 -73.8"
690408,"AMNH","AMNH","specimen","Euphydryas phaeton","6/11/44",1944,6,11,163,1944163,"adult","","","county inferred from town","New York","Orange","","Craigville",41.385927,-74.23876,"3036","town","N","","","",41.4,-74.2,"1944163 41.4 -74.2"
690409,"AMNH","AMNH","specimen","Euphydryas phaeton","6/11/29",1929,6,11,162,1929162,"adult","","","county inferred from town","New York","Westchester","","Rye",40.980654,-73.68374,"3990","town","N","v. GHIKA","same place, same collector","",41,-73.7,"1929162 41 -73.7"
690410,"AMNH","AMNH","specimen","Euphydryas phaeton","6/15/29",1929,6,15,166,1929166,"adult","","","county inferred from town","New York","Westchester","","Rye",40.980654,-73.68374,"3990","town","N","v. GHIKA","same place, same collector","",41,-73.7,"1929166 41 -73.7"
690412,"AMNH","AMNH","specimen","Euphydryas phaeton","6/5/21",1921,6,5,156,1921156,"adult","","","used kensico reservoir for location","New York","Westchester","","Kensico",41.081951,-73.772183,"8000","locality","N","","same place","same county",41.1,-73.8,"1921156 41.1 -73.8"
690413,"AMNH","AMNH","specimen","Euphydryas phaeton","7/7/25",1925,7,7,188,1925188,"adult","","","county inferred from town","New York","Broome","","Johnson City",42.115631,-75.958809,"3643","town","N","","","",42.1,-76,"1925188 42.1 -76"
690415,"AMNH","AMNH","specimen","Euphydryas phaeton","8/2/61",1961,8,2,214,1961214,"adult","","","county inferred from town","New York","Albany","","East Berne",42.616466,-74.074575,"3036","town","N","","","same county",42.6,-74.1,"1961214 42.6 -74.1"
690416,"AMNH","AMNH","specimen","Euphydryas phaeton","8/1/72",1972,8,1,214,1972214,"adult","","","county inferred from town","New York","Tompkins","","Ithaca",42.440628,-76.496607,"3509","town","N","Schwartz, M.","","",42.4,-76.5,"1972214 42.4 -76.5"
690418,"AMNH","AMNH","specimen","Euphydryas phaeton","6/7/33",1933,6,7,158,1933158,"adult","","","county inferred from town","New York","Westchester","","Somers",41.32815,-73.685686,"3036","town","N","Wood, Wm. C.","","same county",41.3,-73.7,"1933158 41.3 -73.7"
690420,"AMNH","AMNH","specimen","Euphydryas phaeton","7/4/17",1917,7,4,185,1917185,"adult","","","county inferred from town","New York","Queens","","Flushing",40.76538,-73.817356,"3036","town","N","","","",40.8,-73.8,"1917185 40.8 -73.8"
690421,"AMNH","AMNH","specimen","Euphydryas phaeton","6/5/10",1910,6,5,156,1910156,"adult","","","county inferred from town","New York","Westchester","","Grey Oaks",40.966209,-73.869579,"3036","town","N","Klots, A.B.","","",41,-73.9,"1910156 41 -73.9"
690422,"AMNH","AMNH","specimen","Euphydryas phaeton","6/12/09",1909,6,12,163,1909163,"adult","","","county inferred from town","New York","Bronx","","Bronx",40.8501,-73.866246,"3036","town","N","","","",40.9,-73.9,"1909163 40.9 -73.9"
690424,"AMNH","AMNH","specimen","Euphydryas phaeton","6/4/33",1933,6,4,155,1933155,"adult","","","county inferred from town; duplicate had purchase county (instead of location)","New York","Westchester","","Purchase",41.04093,-73.714575,"3036","town","N","","","same county",41,-73.7,"1933155 41 -73.7"
690425,"AMNH","AMNH","specimen","Euphydryas phaeton","7/7/08",1908,7,7,189,1908189,"adult","","","county inferred from town","New York","Bronx","","Bronx",40.8501,-73.866246,"3036","town","N","","same place","",40.9,-73.9,"1908189 40.9 -73.9"
690426,"AMNH","AMNH","specimen","Euphydryas phaeton","7/10/12",1912,7,10,192,1912192,"adult","","","county inferred from town","New York","Westchester","","Crugers",41.233428,-73.922638,"2245","town","N","","same place","",41.2,-73.9,"1912192 41.2 -73.9"
690427,"AMNH","AMNH","specimen","Euphydryas phaeton","6/4/22",1922,6,4,155,1922155,"adult","","","county inferred from town","New York","Westchester","","Somers",41.32815,-73.685686,"3036","town","N","Wood, Wm. C.","","",41.3,-73.7,"1922155 41.3 -73.7"
690431,"AMNH","AMNH","specimen","Euphydryas phaeton","6/17/26",1926,6,17,168,1926168,"adult","","","county inferred from town","New York","Fulton","","Johnstown",43.00674,-74.367636,"4221","town","N","Simon, Leonard","","",43,-74.4,"1926168 43 -74.4"
690432,"AMNH","AMNH","specimen","Euphydryas phaeton","5/29/19",1919,5,29,149,1919149,"adult","","","county inferred from town","New York","Westchester","","Chappaqua",41.15954,-73.764855,"4395","town","N","Klots, A.B.","","",41.2,-73.8,"1919149 41.2 -73.8"
690433,"AMNH","AMNH","specimen","Euphydryas phaeton","6/20/32",1932,6,20,172,1932172,"adult","","","county inferred from town","New York","Ulster","","Shokan.",41.973426,-74.21209,"3739","town","N","Frederick, A.C.","","",42,-74.2,"1932172 42 -74.2"
690435,"AMNH","AMNH","specimen","Euphydryas phaeton","6/15/30",1930,6,15,166,1930166,"adult","","","county inferred from town","New York","Albany","","Albany",42.652579,-73.756232,"9462","town","N","Frederick, A.C.","","",42.7,-73.8,"1930166 42.7 -73.8"
690436,"AMNH","AMNH","specimen","Euphydryas phaeton","6/9/34",1934,6,9,160,1934160,"adult","","","county inferred from town","New York","Albany","","Albany",42.652579,-73.756232,"9462","town","N","Frederick, A.C.","","",42.7,-73.8,"1934160 42.7 -73.8"
690439,"AMNH","AMNH","specimen","Euphydryas phaeton","5/30/21",1921,5,30,150,1921150,"adult","","","county inferred from town; have picture of label-location hard to read","New York","Westchester","","Dunwoodie",40.928432,-73.863746,"3036","town","Y","","","same county",40.9,-73.9,"1921150 40.9 -73.9"
690443,"AMNH","AMNH","specimen","Euphydryas phaeton","6/14/08",1908,6,14,166,1908166,"adult","","","county inferred from town","New York","Bronx","","Bronx",40.8501,-73.866246,"3036","town","N","Cunder, J.D.","same place","",40.9,-73.9,"1908166 40.9 -73.9"
690450,"AMNH","AMNH","specimen","Euphydryas phaeton","6/4/10",1910,6,4,155,1910155,"adult","","","county inferred from town","New York","Bronx","","Bronx",40.8501,-73.866246,"3036","town","N","","same place","",40.9,-73.9,"1910155 40.9 -73.9"
690454,"AMNH","AMNH","specimen","Euphydryas phaeton","5/28/22",1922,5,28,148,1922148,"adult","","","county inferred from town","New York","Albany","","Albany",42.652579,-73.756232,"9462","town","N","Frederick, A.C.","","",42.7,-73.8,"1922148 42.7 -73.8"
690455,"AMNH","AMNH","specimen","Euphydryas phaeton","6/6/31",1931,6,6,157,1931157,"adult","","","county inferred from town","New York","Albany","","Albany",42.652579,-73.756232,"9462","town","N","Frederick, A.C.","","",42.7,-73.8,"1931157 42.7 -73.8"
690456,"AMNH","AMNH","specimen","Euphydryas phaeton","6/19/32",1932,6,19,171,1932171,"adult","","","county inferred from town","New York","Westchester","","Rye",40.980654,-73.68374,"3990","town","N","v. GHIKA","","",41,-73.7,"1932171 41 -73.7"
690464,"AMNH","AMNH","specimen","Euphydryas phaeton","6/20/64",1964,6,20,172,1964172,"adult","","","","New York","Dutchess","","Millbrook",41.785094,-73.694018,"2384","town","N","Frederick, A.C.","","",41.8,-73.7,"1964172 41.8 -73.7"
690465,"AMNH","AMNH","specimen","Euphydryas phaeton","7/2/49",1949,7,2,183,1949183,"adult","","","","New York","Monroe","","",43.309161,-77.680178,"52404","county","N","Kimball, Charles P.","","",43.3,-77.7,"1949183 43.3 -77.7"
690466,"AMNH","AMNH","specimen","Euphydryas phaeton","5/28/33",1933,5,28,148,1933148,"adult","","","county inferred from town","New York","Westchester","","Rye",40.980654,-73.68374,"3990","town","N","v. GHIKA","","same county",41,-73.7,"1933148 41 -73.7"
690468,"AMNH","AMNH","specimen","Euphydryas phaeton","7/12/37",1937,7,12,193,1937193,"adult","","","county inferred from town","New York","Albany","","Albany",42.652579,-73.756232,"9462","town","N","Frederick, A.C.","same place, same collector","",42.7,-73.8,"1937193 42.7 -73.8"
690469,"AMNH","AMNH","specimen","Euphydryas phaeton","5/22/21",1921,5,22,142,1921142,"adult","","","used kensico reservoir for location","New York","Westchester","","Kensico",41.081951,-73.772183,"8000","locality","N","dos Passos, C.F.","same place","same county",41.1,-73.8,"1921142 41.1 -73.8"
690475,"AMNH","AMNH","specimen","Euphydryas phaeton","6/19/31",1931,6,19,170,1931170,"adult","","","","New York","Tompkins","","McLean",42.552016,-76.291044,"3036","town","N","","","",42.6,-76.3,"1931170 42.6 -76.3"
690480,"AMNH","AMNH","specimen","Euphydryas phaeton","6/1/20",1920,6,1,153,1920153,"adult","","","county inferred from town","New York","Westchester","","Somers",41.32815,-73.685686,"3036","town","N","Wood, Wm. C.","same place, same collector","",41.3,-73.7,"1920153 41.3 -73.7"
690482,"AMNH","AMNH","specimen","Euphydryas phaeton","6/6/31",1931,6,6,157,1931157,"adult","","","county inferred from town","New York","Fulton","","Johnstown",43.00674,-74.367636,"4221","town","N","","","",43,-74.4,"1931157 43 -74.4"
690486,"AMNH","AMNH","specimen","Euphydryas phaeton","7/19/12",1912,7,19,201,1912201,"adult","","","county inferred from town","New York","Westchester","","Crugers",41.233428,-73.922638,"2245","town","N","","same place","",41.2,-73.9,"1912201 41.2 -73.9"
690487,"AMNH","AMNH","specimen","Euphydryas phaeton","6/11/20",1920,6,11,163,1920163,"adult","","","county inferred from town","New York","Westchester","","Somers",41.32815,-73.685686,"3036","town","N","Wood, Wm. C.","same place, same collector","",41.3,-73.7,"1920163 41.3 -73.7"
690488,"AMNH","AMNH","specimen","Euphydryas phaeton","6/15/23",1923,6,15,166,1923166,"adult","","","county inferred from town","New York","Westchester","","Somers",41.32815,-73.685686,"3036","town","N","Wood, Wm. C.","","",41.3,-73.7,"1923166 41.3 -73.7"
690489,"AMNH","AMNH","specimen","Euphydryas phaeton","6/14/34",1934,6,14,165,1934165,"adult","","","county inferred from town","New York","Westchester","","Somers",41.32815,-73.685686,"3036","town","N","Wood, Wm. C.","","",41.3,-73.7,"1934165 41.3 -73.7"
690492,"AMNH","AMNH","specimen","Euphydryas phaeton","7/6/28",1928,7,6,188,1928188,"adult","","","county inferred from town","New York","Tompkins","","McLean",42.552016,-76.291044,"3036","town","N","Klots, A.B.","","",42.6,-76.3,"1928188 42.6 -76.3"
690494,"AMNH","AMNH","specimen","Euphydryas phaeton","6/22/24",1924,6,22,174,1924174,"adult","","","county inferred from town","New York","Westchester","","Somers",41.32815,-73.685686,"3036","town","N","Wood, Wm. C.","","",41.3,-73.7,"1924174 41.3 -73.7"
690495,"AMNH","AMNH","specimen","Euphydryas phaeton","6/18/19",1919,6,18,169,1919169,"adult","","","county inferred from town","New York","Bronx","","Bronx",40.8501,-73.866246,"3036","town","N","","","",40.9,-73.9,"1919169 40.9 -73.9"
690498,"AMNH","AMNH","specimen","Euphydryas phaeton","6/1/10",1910,6,1,152,1910152,"adult","","","county inferred from town","New York","Bronx","","Bronx",40.8501,-73.866246,"3036","town","N","","same place","",40.9,-73.9,"1910152 40.9 -73.9"
690499,"AMNH","AMNH","specimen","Euphydryas phaeton","6/6/37",1937,6,6,157,1937157,"adult","","","county inferred from town","New Jersey","Passaic","","Great Notch",40.874544,-74.207646,"3036","town","N","Nicolay, A.","","",40.9,-74.2,"1937157 40.9 -74.2"
690500,"AMNH","AMNH","specimen","Euphydryas phaeton","6/4/32",1932,6,4,156,1932156,"adult","","","county inferred from town","New Jersey","Morris","","Mendham",40.775933,-74.600714,"3737","town","N","dos Passos, C.F.","same place, same collector","",40.8,-74.6,"1932156 40.8 -74.6"
690501,"AMNH","AMNH","specimen","Euphydryas phaeton","7/3/32",1932,7,3,185,1932185,"adult","","","county inferred from town","New Jersey","Middlesex","","Jamesburg",40.352608,-74.440151,"1871","town","N","","","",40.4,-74.4,"1932185 40.4 -74.4"
690507,"AMNH","AMNH","specimen","Euphydryas phaeton","6/11/32",1932,6,11,163,1932163,"adult","","","county inferred from town","New Jersey","Morris","","Mendham",40.775933,-74.600714,"3737","town","N","dos Passos, C.F.","same place, same collector","",40.8,-74.6,"1932163 40.8 -74.6"
690512,"AMNH","AMNH","specimen","Euphydryas phaeton","5/26/41",1941,5,26,146,1941146,"adult","","","county inferred from town","New Jersey","Bergen","","Norwood",40.998153,-73.961804,"2813","town","N","Schott","","",41,-74,"1941146 41 -74"
690514,"AMNH","AMNH","specimen","Euphydryas phaeton","6/19/62",1962,6,19,170,1962170,"adult","","date: given as 6/18-21/1962","county inferred from town","New Jersey","Morris","","Mendham",40.775933,-74.600714,"3737","town","N","dos Passos, C.F.","","",40.8,-74.6,"1962170 40.8 -74.6"
690515,"AMNH","AMNH","specimen","Euphydryas phaeton","6/26/60",1960,6,26,178,1960178,"adult","","","","New Jersey","Hunterdon","","",40.567305,-74.912254,"30106","county","N","Mueller, Joseph","","",40.6,-74.9,"1960178 40.6 -74.9"
690516,"AMNH","AMNH","specimen","Euphydryas phaeton","6/13/49",1949,6,13,164,1949164,"adult","","","county inferred from town; has another label underneath that just says newfoundl","New Jersey","Essex","","Short Hills",40.747879,-74.325427,"3036","town","N","Mueller, Joseph","same place, same collector","",40.7,-74.3,"1949164 40.7 -74.3"
690517,"AMNH","AMNH","specimen","Euphydryas phaeton","6/17/40",1940,6,17,169,1940169,"adult","","","county inferred from town; has another label underneath that says green village","New Jersey","Essex","","Short Hills",40.747879,-74.325427,"3036","town","N","Mueller, Joseph","","",40.7,-74.3,"1940169 40.7 -74.3"
690518,"AMNH","AMNH","specimen","Euphydryas phaeton","6/21/57",1957,6,21,172,1957172,"adult","","","","New Jersey","Hunterdon","","",40.567305,-74.912254,"30106","county","N","Mueller, Joseph","","",40.6,-74.9,"1957172 40.6 -74.9"
690519,"AMNH","AMNH","specimen","Euphydryas phaeton","7/12/70",1970,7,12,193,1970193,"adult","","same day and county","","New Jersey","Sussex","","Beemerville",41.210651,-74.691552,"3036","town","N","Wright, Dave;(Wallace, D. was collector of a duplicate)","same place, same collector?","same county, some same collector",41.2,-74.7,"1970193 41.2 -74.7"
