PlantID,CommonName,Label,Absorbance,Concentration,NumberWashed,ConcFlower,DateAnalyzed,AnalysisNotes,State,Site,CollectionNotes,DateBagged,TimeBagged,DateCollected,TimeCollected,HoursInCooler,DateNeg80,DaysNeg20 ,DaysNeg80 ,TransitDate,Melted
Asclepias syriaca,common milkweed,7,-0.364,250.55,1,250.55,11/15/19,,Maryland,Nuetzel,,6/28/19,NA,6/29/19,NA,1,7/1/19,2,137,7/1/19,N
Asclepias syriaca,common milkweed,1,0.148,372.29,1,372.29,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Asclepias syriaca,common milkweed,2,-0.266,273.705,1,273.705,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Asclepias syriaca,common milkweed,3,-1.344,17.413,1,17.413,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Asclepias syriaca,common milkweed,4,-0.944,112.551,1,112.551,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Asclepias syriaca,common milkweed,5,0.284,404.597,1,404.597,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Asclepias syriaca,common milkweed,6,-0.996,100.189,1,100.189,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Asclepias syriaca,common milkweed,8,-1.08,80.244,1,80.244,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Asclepias syriaca,common milkweed,9,-0.325,259.679,1,259.679,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Asclepias syriaca,common milkweed,10,0.16,374.976,1,374.976,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Asclepias syriaca,common milkweed,11,-0.014,333.659,1,333.659,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Asclepias syriaca,common milkweed,12,-0.59,196.729,1,196.729,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Asclepias syriaca,common milkweed,13,0.692,501.517,1,501.517,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Asclepias syriaca,common milkweed,14,0.102,361.235,1,361.235,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Asclepias syriaca,common milkweed,15,0.484,452.047,1,452.047,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Asclepias syriaca,common milkweed,16,0.286,404.906,1,404.906,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Asclepias syriaca,common milkweed,17,-0.92,118.232,1,118.232,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Asclepias syriaca,common milkweed,18,0.07,353.581,1,353.581,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Asclepias syriaca,common milkweed,19,0.533,463.766,1,463.766,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Asclepias syriaca,common milkweed,20,0.154,373.478,1,373.478,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Cornus sericea,dogwood,18,-0.958,109.222,1,109.222,11/15/19,,Maryland,Nuetzel,,6/28/19,NA,6/29/19,NA,1,7/1/19,2,137,7/1/19,N
Cornus sericea,dogwood,19,-0.786,150.206,1,150.206,11/15/19,,Maryland,Nuetzel,,6/28/19,NA,6/29/19,NA,1,7/1/19,2,137,7/1/19,N
Cornus sericea,dogwood,20,-0.988,102.162,1,102.162,11/15/19,,Maryland,Nuetzel,,6/28/19,NA,6/29/19,NA,1,7/1/19,2,137,7/1/19,N
Cornus sericea,dogwood,1,-0.997,99.975,1,99.975,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Cornus sericea,dogwood,2,-1.086,78.794,1,78.794,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Cornus sericea,dogwood,3,-1.088,78.413,1,78.413,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Cornus sericea,dogwood,4,-1.11,73.112,1,73.112,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
Cornus sericea,dogwood,5,-1.11,73.112,1,73.112,11/15/19,,Maryland,Nuetzel,,6/25/19,NA,6/26/19,NA,2,7/1/19,5,137,7/1/19,N
