Year,Date,State,Site,Transect,PlantID,CommonName,FloweringUnit,Count,Notes
2019,5/28/19,Maryland,Nuetzel,7,Rosa multiflora,multiflora rose,flower cluster,3,
2019,5/28/19,Maryland,Nuetzel,5,Galium mollugo,hedge bedstraw,branch,140,transect partly mowed
2019,5/28/19,Maryland,Nuetzel,5,Rubus allegheniensis,blackberry,flower cluster,3,
2019,5/28/19,Maryland,Nuetzel,5,Achillea millefolium,yarrow,inflorescence,1,
2019,5/28/19,Maryland,Nuetzel,5,Trifolium repens,white clover,flower head,1,
2019,5/28/19,Maryland,Nuetzel,5,Oxalis stricta,oxalis,flower,3,
2019,5/28/19,Maryland,Nuetzel,5,Trifolium pratense,pink clover,flower head,1,
2019,5/28/19,Maryland,Nuetzel,5,Ranunculus bulbosus,buttercup,flower,4,
2019,5/28/19,Maryland,Nuetzel,3,Viburnum dentatum,viburnum,inflorescence,50,
2019,5/28/19,Maryland,Nuetzel,3,Rosa multiflora,multiflora rose,flower cluster,160,
2019,5/28/19,Maryland,Nuetzel,1,Rubus allegheniensis,blackberry,flower cluster,13,
2019,5/28/19,Maryland,Nuetzel,10,Rubus allegheniensis,blackberry,flower cluster,1,
2019,5/28/19,Maryland,Nuetzel,10,Trifolium repens,white clover,flower head,4,
2019,5/28/19,Maryland,Nuetzel,10,Oxalis stricta,oxalis,flower,9,
2019,5/28/19,Maryland,Nuetzel,10,Cerastium arvense,field chickweed,flower,3,have picture
2019,5/28/19,Maryland,Nuetzel,10,NA,NA,flower,1,tiny blue flower. picture too blurry to ID. chance it's Veronica arvensis or similar
2019,5/28/19,Maryland,Nuetzel,9,Rubus allegheniensis,blackberry,flower cluster,200,
2019,5/28/19,Maryland,Nuetzel,2,Rubus allegheniensis,blackberry,flower cluster,50,
2019,5/28/19,Maryland,Nuetzel,2,Viburnum dentatum,viburnum,inflorescence,10,
2019,5/28/19,Maryland,Nuetzel,4,Rubus allegheniensis,blackberry,flower cluster,5,
2019,5/28/19,Maryland,Nuetzel,6,Oxalis stricta,oxalis,flower,2,
2019,5/28/19,Maryland,Nuetzel,6,Potentilla simplex,common cinquefoil,flower,2,"don’t have picture, but assuming it's other cinquefoil species that was seen at the site (simplex)"
2019,5/28/19,Maryland,Nuetzel,6,Rubus allegheniensis,blackberry,flower cluster,100,
2019,5/28/19,Maryland,Nuetzel,6,Viburnum dentatum,viburnum,inflorescence,3,
2019,5/28/19,Maryland,Nuetzel,8,NA,NA,NA,NA,nothing flowering in transect
2019,5/29/19,Maryland,McElwain,2,NA,NA,NA,NA,nothing flowering in transect
2019,5/29/19,Maryland,McElwain,3,NA,NA,NA,NA,nothing flowering in transect
2019,5/29/19,Maryland,McElwain,4,Rubus allegheniensis,blackberry,flower cluster,70,
2019,5/29/19,Maryland,McElwain,4,Rosa multiflora,multiflora rose,flower cluster,50,
2019,5/29/19,Maryland,McElwain,8,NA,NA,NA,NA,nothing flowering in transect
2019,5/29/19,Maryland,McElwain,7,NA,NA,NA,NA,nothing flowering in transect
2019,5/29/19,Maryland,McElwain,6,NA,NA,NA,NA,nothing flowering in transect
2019,5/29/19,Maryland,McElwain,5,NA,NA,NA,NA,nothing flowering in transect
2019,5/29/19,Maryland,McElwain,9,Rubus allegheniensis,blackberry,flower cluster,4,
2019,5/29/19,Maryland,McElwain,9,Rosa multiflora,multiflora rose,flower cluster,3,
2019,5/29/19,Maryland,McElwain,10,Rubus allegheniensis,blackberry,flower cluster,4,
2019,5/31/19,Maryland,Alesia,2,Nasturtium officinale,watercress,flower cluster,70,end wpt 525_1
2019,5/31/19,Maryland,Alesia,4,Rosa multiflora,multiflora rose,flower cluster,2,end wpt 528_1
2019,5/31/19,Maryland,Alesia,4,Nasturtium officinale,watercress,flower cluster,55,
2019,5/31/19,Maryland,Alesia,6,Rosa multiflora,multiflora rose,flower cluster,17,end wpt 529_1
2019,5/31/19,Maryland,Alesia,6,Potentilla canadensis,dwarf cinquefoil,flower,1,
2019,5/31/19,Maryland,Alesia,8,Rosa multiflora,multiflora rose,flower cluster,90,end wpt 530_1
2019,5/31/19,Maryland,Alesia,10,Rosa multiflora,multiflora rose,flower cluster,170,
2019,5/31/19,Maryland,Alesia,9,NA,NA,NA,NA,nothing flowering in transect. end wpt 531_1
2019,5/31/19,Maryland,Alesia,7,Rosa multiflora,multiflora rose,flower cluster,50,may have been more than 50. end wpt 532_1
2019,5/31/19,Maryland,Alesia,7,Ligustrum obtusifolium,border privet,flower cluster,20,
2019,5/31/19,Maryland,Alesia,7,Erigeron annuus,fleabane,flower head,3,
2019,5/31/19,Maryland,Alesia,5,Rosa multiflora,multiflora rose,flower cluster,68,counting ones with yellow middles. end wpt 524_27
2019,5/31/19,Maryland,Alesia,3,NA,NA,NA,NA,end wpt 525_27
2019,5/31/19,Maryland,Alesia,1,Nasturtium officinale,watercress,flower cluster,26,had to move beginning point of transect. new point: 533 on gps 1. end wpt 526_27
2019,6/3/19,Maryland,EdgewoodAPG,1,NA,NA,NA,NA,nothing flowering in transect. end wpt 527_27
2019,6/3/19,Maryland,EdgewoodAPG,2,Achillea millefolium,yarrow,inflorescence,1,end wpt 529_27
2019,6/3/19,Maryland,EdgewoodAPG,2,Lysimachia quadrifolia,whorled loosestrife,flower,7,
2019,6/3/19,Maryland,EdgewoodAPG,3,NA,NA,NA,NA,nothing flowering in transect. end wpt 530_27
2019,6/3/19,Maryland,EdgewoodAPG,4,Utricularia intermedia,bladderwort,flower,38,end wpt 531_27
2019,6/3/19,Maryland,EdgewoodAPG,4,Persicaria setacea,smartweed,inflorescence,2,one of the inflorescences had 5 flowers. not 100% confident on ID
2019,6/3/19,Maryland,EdgewoodAPG,5,Utricularia intermedia,bladderwort,flower,2,end wpt 532_27
2019,6/3/19,Maryland,EdgewoodAPG,6,Penstemon digitalis,foxglove beardtongue,stalk,5,end wpt 533_27
2019,6/3/19,Maryland,EdgewoodAPG,7,Penstemon digitalis,foxglove beardtongue,stalk,1,end wpt 534_1
2019,6/9/19,Maryland,McElwain,10,NA,NA,NA,NA,547_27 is start of transect. end wpt 555_1
2019,6/9/19,Maryland,McElwain,9,NA,NA,NA,NA,end wpt 556_1
2019,6/9/19,Maryland,McElwain,8,NA,NA,NA,NA,end wpt 557_1
2019,6/9/19,Maryland,McElwain,7,NA,NA,NA,NA,end wpt 558_1
2019,6/9/19,Maryland,McElwain,5,NA,NA,NA,NA,end wpt 559_1
2019,6/9/19,Maryland,McElwain,6,NA,NA,NA,NA,end wpt 560_1
2019,6/9/19,Maryland,McElwain,3,NA,NA,NA,NA,end wpt 561_1
2019,6/9/19,Maryland,McElwain,2,Rubus hispidus,swamp dewberry,flower,240,end wpt 563_1
2019,6/9/19,Maryland,McElwain,4,Rubus allegheniensis,blackberry,flower cluster,19,almost every cluster was singular flower. end wpt 564_1
2019,6/11/19,Maryland,SmallAPG,2,Apocynum cannabinum,dogbane,inflorescence,40,end wpt 550_27
2019,6/11/19,Maryland,SmallAPG,2,Solanum carolinense,horsenettle,flower,5,
2019,6/11/19,Maryland,SmallAPG,1,Penstemon digitalis,foxglove beardtongue,stalk,3,end wpt 551_27
2019,6/11/19,Maryland,SmallAPG,1,Trifolium repens,white clover,flower head,2,
2019,6/11/19,Maryland,Nuetzel,8,NA,NA,NA,NA,end wpt 567_1
2019,6/11/19,Maryland,Nuetzel,6,Rubus allegheniensis,blackberry,flower cluster,14,end wpt 568_1
2019,6/11/19,Maryland,Nuetzel,6,Erigeron annuus,fleabane,flower head,1,
2019,6/11/19,Maryland,Nuetzel,4,Rubus allegheniensis,blackberry,flower cluster,4,end wpt 569_1
2019,6/11/19,Maryland,Nuetzel,2,Rubus allegheniensis,blackberry,flower cluster,25,end wpt 570_1
2019,6/11/19,Maryland,Nuetzel,9,Rubus allegheniensis,blackberry,flower cluster,55,end wpt 571_1
2019,6/11/19,Maryland,Nuetzel,10,Triodanis perfoliata,bellflower,flower,3,"in picture, flower looks half open. end wpt 572_1"
2019,6/11/19,Maryland,Nuetzel,10,Trifolium repens,white clover,flower head,1,
